Date,ConfirmedCases
01/22/20,0
01/23/20,0
01/24/20,0
01/25/20,0
01/26/20,0
01/27/20,0
01/28/20,0
01/29/20,0
01/30/20,1
01/31/20,1
02/01/20,1
02/02/20,2
02/03/20,3
02/04/20,3
02/05/20,3
02/06/20,3
02/07/20,3
02/08/20,3
02/09/20,3
02/10/20,3
02/11/20,3
02/12/20,3
02/13/20,3
02/14/20,3
02/15/20,3
02/16/20,3
02/17/20,3
02/18/20,3
02/19/20,3
02/20/20,3
02/21/20,3
02/22/20,3
02/23/20,3
02/24/20,3
02/25/20,3
02/26/20,3
02/27/20,3
02/28/20,3
02/29/20,3
03/01/20,3
03/02/20,5
03/03/20,5
03/04/20,28
03/05/20,30
03/06/20,31
03/07/20,34
03/08/20,39
03/09/20,43
03/10/20,56
03/11/20,62
03/12/20,73
03/13/20,82
03/14/20,102
03/15/20,113
03/16/20,119
03/17/20,142
03/18/20,156
03/19/20,194
03/20/20,244
03/21/20,330
03/22/20,396
03/23/20,499
03/24/20,536
03/25/20,657
03/26/20,727
03/27/20,887
03/28/20,987
03/29/20,1024
03/30/20,1251
03/31/20,1397
04/01/20,1998
04/02/20,2543
04/03/20,2567
04/04/20,3082
04/05/20,3588
04/06/20,4778
04/07/20,5311
04/08/20,5916
04/09/20,6725
04/10/20,7598
04/11/20,8446
04/12/20,9205
04/13/20,10453
04/14/20,11487
04/15/20,12322
04/16/20,13430
04/17/20,14352
04/18/20,15722
04/19/20,17615
04/20/20,18539
04/21/20,20080
04/22/20,21370
04/23/20,23077
04/24/20,24530
04/25/20,26283
04/26/20,27890
04/27/20,29451
04/28/20,31324
04/29/20,33062
04/30/20,34863
05/01/20,37257
05/02/20,39699
05/03/20,42505
05/04/20,46437
05/05/20,49400
05/06/20,52987
05/07/20,56351
05/08/20,59695
05/09/20,62808
05/10/20,67161
05/11/20,70768
05/12/20,74292
05/13/20,78055
05/14/20,81997
05/15/20,85784
05/16/20,90648
05/17/20,95698
05/18/20,100328
05/19/20,106475
05/20/20,112028
05/21/20,118226
05/22/20,124794
05/23/20,131423
05/24/20,138536
05/25/20,144950
05/26/20,150793
05/27/20,158086
05/28/20,165386
05/29/20,173491
05/30/20,181827
05/31/20,190609
06/01/20,198370
06/02/20,207191
06/03/20,216824
06/04/20,226713
06/05/20,236184
06/06/20,246622
06/07/20,257486
06/08/20,265928
06/09/20,276146
06/10/20,286605
06/11/20,297535
06/12/20,308993
06/13/20,320922
06/14/20,332424
06/15/20,343091
06/16/20,354065
06/17/20,366946
06/18/20,380532
06/19/20,395048
06/20/20,410451
06/21/20,425282
06/22/20,440215
06/23/20,456183
06/24/20,473105
06/25/20,490401
06/26/20,508953
06/27/20,528859
06/28/20,548318
06/29/20,566840
06/30/20,585481
07/01/20,604641
07/02/20,625544
07/03/20,648315
07/04/20,673165
07/05/20,697413
07/06/20,719664
07/07/20,742417
07/08/20,767296
07/09/20,793802
07/10/20,820916
07/11/20,849522
07/12/20,878254
07/13/20,906752
07/14/20,936181
07/15/20,968857
07/16/20,1003832
07/17/20,1039084
07/18/20,1077781
07/19/20,1118206
07/20/20,1155338
07/21/20,1193078
07/22/20,1238798
07/23/20,1288108
07/24/20,1337024
07/25/20,1385635
07/26/20,1435616
07/27/20,1480073
07/28/20,1531669
07/29/20,1581963
07/30/20,1634746
07/31/20,1695988
08/01/20,1750723
08/02/20,1803695
08/03/20,1855745
08/04/20,1908254
08/05/20,1964536
08/06/20,2027074
08/07/20,2088611
08/08/20,2153010
08/09/20,2215074
08/10/20,2268675
08/11/20,2329638
08/12/20,2396637
08/13/20,2461190
08/14/20,2525922
08/15/20,2589952
08/16/20,2647663
08/17/20,2702681
08/18/20,2767253
08/19/20,2836925
08/20/20,2905825
08/21/20,2975701
08/22/20,3044940
08/23/20,3106348
08/24/20,3167323
08/25/20,3224547
08/26/20,3310234
08/27/20,3387500
08/28/20,3463972
08/29/20,3542733
08/30/20,3621245
08/31/20,3691166
09/01/20,3769523
09/02/20,3853406
09/03/20,3936747
09/04/20,4023179
09/05/20,4113811
09/06/20,4204613
09/07/20,4280422
09/08/20,4370128
09/09/20,4465863
09/10/20,4562414
09/11/20,4659984
09/12/20,4754356
09/13/20,4846427
09/14/20,4930236
09/15/20,5020359
09/16/20,5118253
09/17/20,5214677
09/18/20,5308014
09/19/20,5400619
09/20/20,5487580
09/21/20,5562663
09/22/20,5646010
09/23/20,5732518
09/24/20,5818570
09/25/20,5903932
09/26/20,5992532
09/27/20,6074702
09/28/20,6145291
09/29/20,6225763
09/30/20,6312584
10/01/20,6394068
10/02/20,6473544
10/03/20,6549373
10/04/20,6623815
10/05/20,6685082
10/06/20,6757131
10/07/20,6835655
10/08/20,6906151
10/09/20,6979423
10/10/20,7053806
10/11/20,7120538
10/12/20,7175880
10/13/20,7239389
10/14/20,7307097
10/15/20,7370468
10/16/20,7432680
10/17/20,7494551
10/18/20,7550273
10/19/20,7597063
10/20/20,7651107
10/21/20,7706946
10/22/20,7761312
10/23/20,7814682
10/24/20,7864811
10/25/20,7909959
10/26/20,7946429
10/27/20,7990322
10/28/20,8040203
